Ticker,Model,Source,RMSE,Accuracy,Timestamp
AADR,XGBoost,FinBERT,0.04233786420206927,53.0,2025-12-09 13:47
AADR,SVR,FinBERT,0.03971691288206362,38.0,2025-12-09 13:47
AADR,MLP,FinBERT,0.16474328714988387,57.99999999999999,2025-12-09 13:47
AADR,ARIMAX,FinBERT,0.043154122588115636,38.0,2025-12-09 13:47
AAL,LinearRegression,VADER,0.09535588382956282,51.886792452830186,2025-12-09 13:47
AAL,Ridge,VADER,0.09436908067639949,48.113207547169814,2025-12-09 13:47
AAL,Lasso,VADER,0.09172830251643366,43.39622641509434,2025-12-09 13:47
AAL,RandomForest,VADER,0.0958695959466028,42.45283018867924,2025-12-09 13:47
AAL,XGBoost,VADER,0.09212936418996291,48.113207547169814,2025-12-09 13:47
AAL,SVR,VADER,0.09581367835607536,51.886792452830186,2025-12-09 13:47
AAL,MLP,VADER,0.17562241501343956,46.22641509433962,2025-12-09 13:47
AAL,ARIMAX,VADER,0.09142507095089274,45.28301886792453,2025-12-09 13:47
AAL,LinearRegression,TextBlob,0.09535588382956282,51.886792452830186,2025-12-09 13:47
AAL,Ridge,TextBlob,0.09436908067639949,48.113207547169814,2025-12-09 13:47
AAL,Lasso,TextBlob,0.09172830251643366,43.39622641509434,2025-12-09 13:47
AAL,RandomForest,TextBlob,0.0958695959466028,42.45283018867924,2025-12-09 13:47
AAL,XGBoost,TextBlob,0.09212936418996291,48.113207547169814,2025-12-09 13:47
AAL,SVR,TextBlob,0.09581367592085238,51.886792452830186,2025-12-09 13:47
AAL,MLP,TextBlob,0.1751181517744451,46.22641509433962,2025-12-09 13:47
AAL,ARIMAX,TextBlob,0.09142507095103419,45.28301886792453,2025-12-09 13:47
AAL,LinearRegression,FinBERT,0.09535588382956282,51.886792452830186,2025-12-09 13:47
AAL,Ridge,FinBERT,0.09436908067639949,48.113207547169814,2025-12-09 13:47
AAL,Lasso,FinBERT,0.09172830251643366,43.39622641509434,2025-12-09 13:47
AAL,RandomForest,FinBERT,0.0958695959466028,42.45283018867924,2025-12-09 13:47
AAL,XGBoost,FinBERT,0.09212936418996291,48.113207547169814,2025-12-09 13:47
AAL,SVR,FinBERT,0.09581367506990693,51.886792452830186,2025-12-09 13:47
AAL,MLP,FinBERT,0.17572740312241444,46.22641509433962,2025-12-09 13:47
AAL,ARIMAX,FinBERT,0.09142507095098382,45.28301886792453,2025-12-09 13:47
AAME,LinearRegression,VADER,0.07256094554963276,55.660377358490564,2025-12-09 13:47
AAME,Ridge,VADER,0.07277633574682368,58.490566037735846,2025-12-09 13:47
AAME,Lasso,VADER,0.07364607696189061,45.28301886792453,2025-12-09 13:47
AAME,RandomForest,VADER,0.07963744742430842,55.660377358490564,2025-12-09 13:47
AAME,XGBoost,VADER,0.08049574573255512,50.943396226415096,2025-12-09 13:47
AAME,SVR,VADER,0.07613423787291569,56.60377358490566,2025-12-09 13:47
AAME,MLP,VADER,0.11712497353433864,37.735849056603776,2025-12-09 13:47
AAME,ARIMAX,VADER,0.08230898401702312,50.0,2025-12-09 13:47
AAME,LinearRegression,TextBlob,0.07269082845057973,52.83018867924528,2025-12-09 13:47
AAME,Ridge,TextBlob,0.0729145621380227,56.60377358490566,2025-12-09 13:47
AAME,Lasso,TextBlob,0.07364607696189061,45.28301886792453,2025-12-09 13:47
AAME,RandomForest,TextBlob,0.07869313892968413,51.886792452830186,2025-12-09 13:47
AAME,XGBoost,TextBlob,0.08118962080369439,47.16981132075472,2025-12-09 13:47
AAME,SVR,TextBlob,0.08139009066253183,50.943396226415096,2025-12-09 13:47
AAME,MLP,TextBlob,0.1169969649934171,52.83018867924528,2025-12-09 13:47
AAME,ARIMAX,TextBlob,0.0826186715189176,50.0,2025-12-09 13:47
AAME,LinearRegression,FinBERT,0.07265659562000627,55.660377358490564,2025-12-09 13:47
AAME,Ridge,FinBERT,0.07287844275524073,57.54716981132076,2025-12-09 13:47
AAME,Lasso,FinBERT,0.07364607696189061,45.28301886792453,2025-12-09 13:47
AAME,RandomForest,FinBERT,0.07817000528672322,52.83018867924528,2025-12-09 13:47
AAME,XGBoost,FinBERT,0.08062578684212984,48.113207547169814,2025-12-09 13:47
AAME,SVR,FinBERT,0.07826161787825327,53.77358490566038,2025-12-09 13:47
AAME,MLP,FinBERT,0.11552660039427849,42.45283018867924,2025-12-09 13:47
AAME,ARIMAX,FinBERT,0.08257554293673192,50.0,2025-12-09 13:47
AAOI,LinearRegression,VADER,0.0915325136693401,48.529411764705884,2025-12-09 13:47
AAOI,Ridge,VADER,0.09054777132867112,50.0,2025-12-09 13:47
AAOI,Lasso,VADER,0.08732741889018299,48.529411764705884,2025-12-09 13:47
AAOI,RandomForest,VADER,0.09466690968811287,45.588235294117645,2025-12-09 13:47
AAOI,XGBoost,VADER,0.10140301666686775,45.588235294117645,2025-12-09 13:47
AAOI,SVR,VADER,0.09501521728781431,52.94117647058824,2025-12-09 13:47
AAOI,MLP,VADER,0.1421644641979948,47.05882352941176,2025-12-09 13:47
AAOI,ARIMAX,VADER,0.09035202067050452,51.470588235294116,2025-12-09 13:47
AAOI,LinearRegression,TextBlob,0.0915325136693401,48.529411764705884,2025-12-09 13:47
AAOI,Ridge,TextBlob,0.09054777132867112,50.0,2025-12-09 13:47
AAOI,Lasso,TextBlob,0.08732741889018299,48.529411764705884,2025-12-09 13:47
AAOI,RandomForest,TextBlob,0.09466690968811287,45.588235294117645,2025-12-09 13:47
AAOI,XGBoost,TextBlob,0.10140301666686775,45.588235294117645,2025-12-09 13:47
AAOI,SVR,TextBlob,0.0950223477184948,52.94117647058824,2025-12-09 13:47
AAOI,MLP,TextBlob,0.14227703646565437,47.05882352941176,2025-12-09 13:47
AAOI,ARIMAX,TextBlob,0.09035202067021285,51.470588235294116,2025-12-09 13:47
AAOI,LinearRegression,FinBERT,0.0915325136693401,48.529411764705884,2025-12-09 13:47
AAOI,Ridge,FinBERT,0.09054777132867112,50.0,2025-12-09 13:47
AAOI,Lasso,FinBERT,0.08732741889018299,48.529411764705884,2025-12-09 13:47
AAOI,RandomForest,FinBERT,0.09466690968811287,45.588235294117645,2025-12-09 13:47
AAOI,XGBoost,FinBERT,0.10140301666686775,45.588235294117645,2025-12-09 13:47
AAOI,SVR,FinBERT,0.09489853338454304,52.94117647058824,2025-12-09 13:47
